route_path,gate_type,page_component,ghost_world_disposition,action_required
*,OPEN,misc.tsx,OPEN,NONE
/2nd-second,ExplorerRoute,production.tsx,OPEN,NONE
/52-cards,OPEN,tools.tsx,OPEN,NONE
/about/patriotic-interdependentalist,OPEN,public.tsx,OPEN,NONE
/academy,ExplorerRoute,cephas.tsx,OPEN,NONE
/adapt,ProtectedRoute,dashboard.tsx,KEEP,NONE
/adapt-score,OPEN,dashboard.tsx,OPEN,NONE
/adapt-score/legacy,OPEN,dashboard.tsx,OPEN,NONE
/admin-project/:id,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/analytics,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/bounty-dispatch,ProtectedRoute,dashboard.tsx,KEEP,NONE
/admin/company-independence,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/compilation,ProtectedRoute,dashboard.tsx,KEEP,NONE
/admin/failure-queue,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/feature-flags,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/industry-pricing,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/letters,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/librarian,ProtectedRoute,dashboard.tsx,KEEP,NONE
/admin/moneypenny,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/outreach-letters,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/project/create,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/response-dashboard,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/response-log,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/roles,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/service-review,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/showcase,ProtectedRoute,admin.tsx,KEEP,NONE
/agent-onboarding,ProtectedRoute,onboarding.tsx,KEEP,NONE
/ambassador/certify,ProtectedRoute,social.tsx,KEEP,NONE
/ambassador/chain,OPEN,social.tsx,OPEN,NONE
/ambassador/dashboard,ProtectedRoute,social.tsx,KEEP,NONE
/ambassador/portfolio/:ambassadorId,OPEN,social.tsx,OPEN,NONE
/ambassador/register,ProtectedRoute,social.tsx,KEEP,NONE
/ambassador/walkthrough,ProtectedRoute,social.tsx,KEEP,NONE
/anthology,OPEN,public.tsx,OPEN,NONE
/arena,ExplorerRoute,commerce.tsx,OPEN,NONE
/arenas,OPEN,commerce.tsx,OPEN,NONE
/areopagus,OPEN,commerce.tsx,OPEN,NONE
/as-you-wish,OPEN,production.tsx,OPEN,NONE
/asset-library,ProtectedRoute,admin.tsx,KEEP,NONE
/atti,OPEN,onboarding.tsx,OPEN,NONE
/auction,OPEN,commerce.tsx,OPEN,NONE
/auth,OPEN,public.tsx,OPEN,NONE
/auth/tiktok/callback,OPEN,public.tsx,OPEN,NONE
/backer-election,ProtectedRoute,dashboard.tsx,KEEP,NONE
/backer-election/legacy,ProtectedRoute,dashboard.tsx,KEEP,NONE
/badges,ProtectedRoute,social.tsx,KEEP,NONE
/bandwagon,OPEN,public.tsx,OPEN,NONE
/banyan-galleries,ExplorerRoute,initiatives.tsx,OPEN,NONE
/battles,ExplorerRoute,commerce.tsx,OPEN,NONE
/beacon,OPEN,tools.tsx,OPEN,NONE
/beacon-explainer,OPEN,tools.tsx,OPEN,NONE
/beacon-run/:slug,ExplorerRoute,tools.tsx,OPEN,NONE
/beacon-run/create,ProtectedRoute,tools.tsx,KEEP,NONE
/beacon-runs,ExplorerRoute,tools.tsx,OPEN,NONE
/beacons,OPEN,tools.tsx,OPEN,NONE
/beacons/create,ProtectedRoute,tools.tsx,KEEP,NONE
/become-captain/:initiativeId,OPEN,captain.tsx,OPEN,NONE
/benefits,OPEN,cephas.tsx,OPEN,NONE
/bifrost,ProtectedRoute,tools.tsx,KEEP,NONE
/biz-aggregation,OPEN,commerce.tsx,OPEN,NONE
/biz-directory,OPEN,commerce.tsx,OPEN,NONE
/blockchain/:projectId,ProtectedRoute,dashboard.tsx,KEEP,NONE
/blockchain/overview,ProtectedRoute,dashboard.tsx,KEEP,NONE
/bounties,OPEN,dashboard.tsx,OPEN,NONE
/bounties,OPEN,tools.tsx,OPEN,NONE
/bounty,OPEN,public.tsx,OPEN,NONE
/bounty-photography,ProtectedRoute,dashboard.tsx,KEEP,NONE
/bounty-poster-generator,OPEN,public.tsx,OPEN,NONE
/bounty/,OPEN,public.tsx,OPEN,NONE
/bridge/recipe,ProtectedRoute,production.tsx,KEEP,NONE
/briefcase,ProtectedRoute,dashboard.tsx,KEEP,NONE
/browse/business,ProtectedRoute,commerce.tsx,KEEP,NONE
/browse/marketplace,OPEN,commerce.tsx,OPEN,NONE
/browse/network,ProtectedRoute,commerce.tsx,KEEP,NONE
/browse/nonprofit,ProtectedRoute,commerce.tsx,KEEP,NONE
/build-a-business,OPEN,onboarding.tsx,OPEN,NONE
/business-cards,OPEN,tools.tsx,OPEN,NONE
/business-pathway,OPEN,onboarding.tsx,OPEN,NONE
/business-plan,OPEN,public.tsx,OPEN,NONE
/business-plan,ProtectedRoute,tools.tsx,KEEP,NONE
/business-plan-generator,ProtectedRoute,tools.tsx,KEEP,NONE
/business/orders,ProtectedRoute,commerce.tsx,KEEP,NONE
/buy-credits,ProtectedRoute,commerce.tsx,KEEP,NONE
/c-plus-20,OPEN,dashboard.tsx,OPEN,NONE
/c/:shortCode,OPEN,tools.tsx,OPEN,NONE
/c20,ProtectedRoute,dashboard.tsx,KEEP,NONE
/c20-pilot,ProtectedRoute,dashboard.tsx,KEEP,NONE
/c20/leaderboard,OPEN,dashboard.tsx,OPEN,NONE
/calendar,ProtectedRoute,dashboard.tsx,KEEP,NONE
/campaign-production/:workstationId,ProtectedRoute,production.tsx,KEEP,NONE
/campaigns,OPEN,commerce.tsx,OPEN,NONE
/campaigns/:slug,OPEN,commerce.tsx,OPEN,NONE
/campaigns/:slug/pitch-packet,ProtectedRoute,commerce.tsx,KEEP,NONE
/campaigns/nominate,ProtectedRoute,commerce.tsx,KEEP,NONE
/canada40k,OPEN,public.tsx,OPEN,NONE
/canada40k,OPEN,tools.tsx,OPEN,NONE
/canada40k/,OPEN,public.tsx,OPEN,NONE
/canister/bom,ExplorerRoute,production.tsx,OPEN,NONE
/canister/configurator,ProtectedRoute,production.tsx,KEEP,NONE
/captain,CaptainRoute,captain.tsx,KEEP,NONE
/captain/become,ProtectedRoute,captain.tsx,KEEP,NONE
/captain/dashboard,CaptainRoute,captain.tsx,KEEP,NONE
/captain/landing,OPEN,captain.tsx,OPEN,NONE
/captain/medallion,OPEN,captain.tsx,OPEN,NONE
/card-builder,ProtectedRoute,tools.tsx,KEEP,NONE
/card-hunt,OPEN,tools.tsx,OPEN,NONE
/cards,ExplorerRoute,tools.tsx,OPEN,NONE
/cascade,ProtectedRoute,commerce.tsx,KEEP,NONE
/castle,OPEN,captain.tsx,OPEN,NONE
/cephas,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/:category,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/:category/:slug,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/all-the-pudding,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/archive,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/archive/:slug,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/fly-on-the-wall,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/innovation-pedestals,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/northern,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/northern/:section,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/northern/noid/:tier,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/press-junket,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/search,ExplorerRoute,cephas.tsx,OPEN,NONE
/cephas/under-the-hood,ExplorerRoute,cephas.tsx,OPEN,NONE
/chain,ExplorerRoute,social.tsx,OPEN,NONE
/chain-voting,OPEN,social.tsx,OPEN,NONE
/challenge/:slug,OPEN,tools.tsx,OPEN,NONE
/character-remake-bounties,OPEN,public.tsx,OPEN,NONE
/cities,ExplorerRoute,commerce.tsx,OPEN,NONE
/cities/:city,ExplorerRoute,commerce.tsx,OPEN,NONE
/clans,ProtectedRoute,social.tsx,REVIEW,KEEP
/classroom,ExplorerRoute,initiatives.tsx,OPEN,NONE
/classroom/setup,ProtectedRoute,initiatives.tsx,KEEP,NONE
/client-api-manager,ProtectedRoute,admin.tsx,KEEP,NONE
/co,ProtectedRoute,tools.tsx,KEEP,NONE
/coalitions,CaptainRoute,social.tsx,KEEP,NONE
/coalitions/:slug,ExplorerRoute,social.tsx,OPEN,NONE
/coalitions/create,ProtectedRoute,social.tsx,KEEP,NONE
/coalitions/legacy,ExplorerRoute,social.tsx,OPEN,NONE
/coaster-medallion,ExplorerRoute,production.tsx,OPEN,NONE
/codex,ProtectedRoute,tools.tsx,REVIEW,OPEN_AFTER_FOUNDER_RATIFY
/codex/:codexId,ProtectedRoute,tools.tsx,REVIEW,OPEN_AFTER_FOUNDER_RATIFY
/cold-start,ProtectedRoute,dashboard.tsx,KEEP,NONE
/cold-start,OPEN,tools.tsx,OPEN,NONE
/cold-start-dashboard,OPEN,captain.tsx,OPEN,NONE
/cold-start/:initiativeId,OPEN,captain.tsx,OPEN,NONE
/cold-start/:pathway,ProtectedRoute,dashboard.tsx,KEEP,NONE
/community-support,ExplorerRoute,public.tsx,OPEN,NONE
/components,OPEN,public.tsx,OPEN,NONE
/contact,OPEN,public.tsx,OPEN,NONE
/content-controls,ProtectedRoute,dashboard.tsx,KEEP,NONE
/content-pipeline,OPEN,production.tsx,OPEN,NONE
/content-shield,ProtectedRoute,dashboard.tsx,KEEP,NONE
/contests,ExplorerRoute,commerce.tsx,OPEN,NONE
/contests/:slug,ExplorerRoute,commerce.tsx,OPEN,NONE
/contests/:slug/enter,ProtectedRoute,commerce.tsx,KEEP,NONE
/contingency-operators,ProtectedRoute,tools.tsx,KEEP,NONE
/cookbook,ExplorerRoute,initiatives.tsx,OPEN,NONE
/cookbook/:restaurantId,ExplorerRoute,initiatives.tsx,OPEN,NONE
/coverage-minutes,OPEN,social.tsx,OPEN,NONE
/crank-it,OPEN,tools.tsx,OPEN,NONE
/create,OPEN,production.tsx,OPEN,NONE
/create-beacon-run,ProtectedRoute,tools.tsx,KEEP,NONE
/create-map,OPEN,captain.tsx,OPEN,NONE
/creator-draft-pick,ExplorerRoute,commerce.tsx,OPEN,NONE
/creators,ExplorerRoute,onboarding.tsx,OPEN,NONE
/creators/:creatorId,ExplorerRoute,onboarding.tsx,OPEN,NONE
/credential-management,ProtectedRoute,admin.tsx,KEEP,NONE
/credit-purchase-success,ProtectedRoute,commerce.tsx,KEEP,NONE
/crew-call,ExplorerRoute,onboarding.tsx,OPEN,NONE
/crew-call/legacy,ExplorerRoute,onboarding.tsx,OPEN,NONE
/crew-tables,ExplorerRoute,social.tsx,OPEN,NONE
/crew/:crewId,ProtectedRoute,social.tsx,KEEP,NONE
/crew/:crewId/invite,OPEN,social.tsx,OPEN,NONE
/crew/design,OPEN,social.tsx,OPEN,NONE
/crew/new,ExplorerRoute,social.tsx,OPEN,NONE
/crewman/dashboard,ProtectedRoute,social.tsx,KEEP,NONE
/crowdfunding,ProtectedRoute,commerce.tsx,KEEP,NONE
/crown-letters,OPEN,cephas.tsx,OPEN,NONE
/crows-nest,OPEN,tools.tsx,OPEN,NONE
/crucible,OPEN,commerce.tsx,OPEN,NONE
/cue-card/food-node/:id?,ProtectedRoute,redCarpet.tsx,KEEP,NONE
/cue-card/food-node/build,ProtectedRoute,redCarpet.tsx,KEEP,NONE
/cue-card/generate/:nodeType,ProtectedRoute,redCarpet.tsx,KEEP,NONE
/cue-card/landing/:shareToken,OPEN,redCarpet.tsx,OPEN,NONE
/cue-card/local-business/:id?,ProtectedRoute,redCarpet.tsx,KEEP,NONE
/cue-card/local-business/build,ProtectedRoute,redCarpet.tsx,KEEP,NONE
/cue-card/service/:id?,ProtectedRoute,redCarpet.tsx,KEEP,NONE
/cue-card/share/:cardId,ProtectedRoute,redCarpet.tsx,KEEP,NONE
/cue-card/tribe/:id?,ProtectedRoute,redCarpet.tsx,KEEP,NONE
/cue-card/welcome/:cardId,OPEN,redCarpet.tsx,OPEN,NONE
/cue-cards,ExplorerRoute,tools.tsx,OPEN,NONE
/cue-cards/:cardType,OPEN,tools.tsx,OPEN,NONE
/cue-cards/campaigns,ExplorerRoute,tools.tsx,OPEN,NONE
/cue-cards/campaigns/:slug,ExplorerRoute,tools.tsx,OPEN,NONE
/cue-cards/create,ProtectedRoute,tools.tsx,KEEP,NONE
/cue-cards/hexisle,OPEN,hexisle.tsx,OPEN,NONE
/cue/:cardId,OPEN,tools.tsx,OPEN,NONE
/cue/durins-door,OPEN,tools.tsx,OPEN,NONE
/cue/hexisle-world,OPEN,hexisle.tsx,OPEN,NONE
/cue/sponsor,OPEN,tools.tsx,OPEN,NONE
/daily-news,OPEN,public.tsx,OPEN,NONE
/dashboard,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/admin/escrow,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/bounty-arena,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/bridges,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/cue-cards,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/cue-cards/create,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/dispatch,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/dispatch/influencer-signup,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/dispatch/queue,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/earnings,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/fund-card,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/gatekeeper,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/helm,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/legacy,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/member,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/membership,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/my-improvements,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/onboarder,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/oob,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/payments,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/payouts,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/piggyback-review,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/provider,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/runner,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/steward/stamps,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/trunk-mirror-review,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/war-chest,ProtectedRoute,dashboard.tsx,KEEP,NONE
/dashboard/xray-feedback,ProtectedRoute,dashboard.tsx,KEEP,NONE
/deals,ExplorerRoute,tools.tsx,OPEN,NONE
/deck,ExplorerRoute,tools.tsx,OPEN,NONE
/deck-card-studio,ExplorerRoute,tools.tsx,OPEN,NONE
/defense-klaus,OPEN,defense.tsx,OPEN,NONE
/defense-klaus/gift/:referralCode,OPEN,defense.tsx,OPEN,NONE
/demand,ExplorerRoute,commerce.tsx,OPEN,NONE
/demo,OPEN,public.tsx,OPEN,NONE
/design-battle,ExplorerRoute,commerce.tsx,OPEN,NONE
/design-democracy,ProtectedRoute,dashboard.tsx,KEEP,NONE
/design/themes,ExplorerRoute,commerce.tsx,OPEN,NONE
/design/themes/create,ProtectedRoute,commerce.tsx,KEEP,NONE
/designed-to-be-broken,OPEN,production.tsx,OPEN,NONE
/dev,OPEN,public.tsx,OPEN,NONE
/dev/celpane-benchmark,OPEN,misc.tsx,OPEN,NONE
/dev/skip-eblets,OPEN,misc.tsx,OPEN,NONE
/developers,OPEN,public.tsx,OPEN,NONE
/discover/:area,OPEN,public.tsx,OPEN,NONE
/dispatch,ProtectedRoute,admin.tsx,KEEP,NONE
/dispatch/compose,ProtectedRoute,tools.tsx,KEEP,NONE
/dispatch/queue,ProtectedRoute,tools.tsx,KEEP,NONE
/dm-keep,ExplorerRoute,tools.tsx,OPEN,NONE
/do-the-swoop,ExplorerRoute,commerce.tsx,OPEN,NONE
/docs/business-plan,ProtectedRoute,tools.tsx,KEEP,NONE
/docs/video-scripts,OPEN,admin.tsx,OPEN,NONE
/door,OPEN,public.tsx,OPEN,NONE
/download/mnemosyne,OPEN,public.tsx,OPEN,NONE
/durins-door,ExplorerRoute,public.tsx,OPEN,NONE
/economics,OPEN,cephas.tsx,OPEN,NONE
/economics/:paperId,OPEN,cephas.tsx,OPEN,NONE
/emporium,OPEN,commerce.tsx,OPEN,NONE
/emporium/designs,OPEN,commerce.tsx,OPEN,NONE
/emporium/templates,OPEN,commerce.tsx,OPEN,NONE
/enter,ExplorerRoute,public.tsx,OPEN,NONE
/entity-membership/apply,OPEN,public.tsx,OPEN,NONE
/entity-membership/dashboard,OPEN,public.tsx,OPEN,NONE
/eoi-vesting,ProtectedRoute,dashboard.tsx,KEEP,NONE
/explore,OPEN,public.tsx,OPEN,NONE
/external-services,ProtectedRoute,admin.tsx,KEEP,NONE
/factory,ExplorerRoute,production.tsx,OPEN,NONE
/factory/bounties,ProtectedRoute,production.tsx,KEEP,NONE
/factory/canister,ExplorerRoute,production.tsx,OPEN,NONE
/factory/canister/shop,ExplorerRoute,production.tsx,OPEN,NONE
/factory/hub,ExplorerRoute,production.tsx,OPEN,NONE
/factory/local-fulfillment,ExplorerRoute,production.tsx,OPEN,NONE
/factory/nodes,ProtectedRoute,production.tsx,KEEP,NONE
/factory/production-systems,ExplorerRoute,production.tsx,OPEN,NONE
/factory/register,ProtectedRoute,production.tsx,KEEP,NONE
/factory/volume-discount,ExplorerRoute,production.tsx,OPEN,NONE
/family,ExplorerRoute,social.tsx,OPEN,NONE
/family-table,ProtectedRoute,initiatives.tsx,KEEP,NONE
/family-table/garage-sales,OPEN,commerce.tsx,OPEN,NONE
/family-table/meal-plan,ProtectedRoute,initiatives.tsx,KEEP,NONE
/family/:familyId,ProtectedRoute,social.tsx,KEEP,NONE
/family/:familyId/calendar,ProtectedRoute,social.tsx,KEEP,NONE
/family/:familyId/gifts,ProtectedRoute,social.tsx,KEEP,NONE
/faq,OPEN,public.tsx,OPEN,NONE
/farmer-supply-chain,ExplorerRoute,initiatives.tsx,OPEN,NONE
/feathers,ExplorerRoute,tools.tsx,OPEN,NONE
/finances,ExplorerRoute,commerce.tsx,OPEN,NONE
/financial-transparency,ExplorerRoute,commerce.tsx,OPEN,NONE
/first-steps,ProtectedRoute,onboarding.tsx,KEEP,NONE
/fly-on-the-wall,OPEN,cephas.tsx,OPEN,NONE
/foreman,OPEN,admin.tsx,OPEN,NONE
/forge,ExplorerRoute,tools.tsx,OPEN,NONE
/forward,OPEN,public.tsx,OPEN,NONE
/founder,OPEN,public.tsx,OPEN,NONE
/founder-savings,ProtectedRoute,tools.tsx,KEEP,NONE
/free-explore,OPEN,public.tsx,OPEN,NONE
/freeze-dried,ExplorerRoute,initiatives.tsx,OPEN,NONE
/freezer-nodes,ExplorerRoute,initiatives.tsx,OPEN,NONE
/freezer-nodes/setup,ProtectedRoute,initiatives.tsx,KEEP,NONE
/friend,ExplorerRoute,public.tsx,OPEN,NONE
/frontier/borrow,OPEN,public.tsx,OPEN,NONE
/frontier/borrow,ProtectedRoute,tools.tsx,KEEP,NONE
/frontier/marketplace,ProtectedRoute,tools.tsx,KEEP,NONE
/funding-pool,ProtectedRoute,commerce.tsx,KEEP,NONE
/furnace,OPEN,commerce.tsx,OPEN,NONE
/garage-sales,OPEN,commerce.tsx,OPEN,NONE
/gas-tracking,ProtectedRoute,tools.tsx,KEEP,NONE
/gauntlet,ExplorerRoute,tools.tsx,OPEN,NONE
/gauntlet/variants,ExplorerRoute,tools.tsx,OPEN,NONE
/gauntlet/variants/,ExplorerRoute,tools.tsx,OPEN,NONE
/get-a-job,OPEN,onboarding.tsx,OPEN,NONE
/get-started/untech,OPEN,public.tsx,OPEN,NONE
/ghost,OPEN,public.tsx,OPEN,NONE
/ghost-browse,OPEN,public.tsx,OPEN,NONE
/ghost-world,OPEN,public.tsx,OPEN,NONE
/ghost-world/mall,ExplorerRoute,commerce.tsx,OPEN,NONE
/ghost-world/map,OPEN,hexisle.tsx,OPEN,NONE
/glass,OPEN,tools.tsx,OPEN,NONE
/gleaners-corner,OPEN,commerce.tsx,OPEN,NONE
/golden-key,OPEN,tools.tsx,OPEN,NONE
/governance,OPEN,captain.tsx,OPEN,NONE
/governance/audit,ProtectedRoute,captain.tsx,KEEP,NONE
/governance/pedestal,ProtectedRoute,captain.tsx,KEEP,NONE
/governance/pedestal/nominate,ProtectedRoute,dashboard.tsx,KEEP,NONE
/governance/proposals,ExplorerRoute,captain.tsx,OPEN,NONE
/governance/proposals/:id,OPEN,captain.tsx,OPEN,NONE
/governance/star-chamber,ProtectedRoute,captain.tsx,KEEP,NONE
/governance/voting,ProtectedRoute,captain.tsx,KEEP,NONE
/guided-discovery,OPEN,onboarding.tsx,OPEN,NONE
/guild-phases,OPEN,social.tsx,OPEN,NONE
/guild-stake-success,ProtectedRoute,commerce.tsx,KEEP,NONE
/guilds,ProtectedRoute,social.tsx,REVIEW,KEEP
/guilds/:slug,ExplorerRoute,social.tsx,OPEN,NONE
/guilds/create,ProtectedRoute,social.tsx,KEEP,NONE
/guilds/hub,ExplorerRoute,social.tsx,OPEN,NONE
/guilds/legacy,ProtectedRoute,social.tsx,REVIEW,KEEP
/hall-of-innovations,ExplorerRoute,captain.tsx,OPEN,NONE
/hall-of-records,OPEN,tools.tsx,OPEN,NONE
/hard-knocks,OPEN,cephas.tsx,OPEN,NONE
/helm,ExplorerRoute,tools.tsx,OPEN,NONE
/helm/beacons,ProtectedRoute,tools.tsx,KEEP,NONE
/helm/bushels,ProtectedRoute,tools.tsx,KEEP,NONE
/helm/code-breakers,ProtectedRoute,dashboard.tsx,KEEP,NONE
/helm/content,ProtectedRoute,tools.tsx,KEEP,NONE
/helm/lb-elves,ProtectedRoute,dashboard.tsx,KEEP,NONE
/helm/library,ProtectedRoute,tools.tsx,KEEP,NONE
/helm/miner-grading,ProtectedRoute,tools.tsx,KEEP,NONE
/helm/red-blue-leaderboard,ExplorerRoute,tools.tsx,OPEN,NONE
/helm/red-blue-leaderboard/blue,ExplorerRoute,tools.tsx,OPEN,NONE
/helm/red-blue-leaderboard/member/:member_id,ExplorerRoute,tools.tsx,OPEN,NONE
/helm/red-blue-leaderboard/red,ExplorerRoute,tools.tsx,OPEN,NONE
/helm/scales-rubric,ProtectedRoute,tools.tsx,KEEP,NONE
/helm/substrate,ProtectedRoute,tools.tsx,KEEP,NONE
/helm/substrate/browser,ProtectedRoute,tools.tsx,KEEP,NONE
/helm/substrate/health,ProtectedRoute,tools.tsx,KEEP,NONE
/helm/verdicts,ProtectedRoute,tools.tsx,KEEP,NONE
/help,ExplorerRoute,public.tsx,OPEN,NONE
/help-each-other,ExplorerRoute,public.tsx,OPEN,NONE
/help-wanted,OPEN,commerce.tsx,OPEN,NONE
/herald,ProtectedRoute,commerce.tsx,KEEP,NONE
/herald-subscription,ProtectedRoute,commerce.tsx,KEEP,NONE
/herald-success,ProtectedRoute,commerce.tsx,KEEP,NONE
/heroes/:slug,ExplorerRoute,commerce.tsx,OPEN,NONE
/hexisle,OPEN,hexisle.tsx,OPEN,NONE
/hexisle-dashboard,ProtectedRoute,hexisle.tsx,KEEP,NONE
/hexisle-game,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/:islandName,ExplorerRoute,hexisle.tsx,OPEN,NONE
/hexisle/assignments,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/battle-philosophy,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/builder,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/campaign/:slug,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/campaigns,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/company,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/creator,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/downloads,ExplorerRoute,hexisle.tsx,OPEN,NONE
/hexisle/encyclopedia,ExplorerRoute,hexisle.tsx,OPEN,NONE
/hexisle/explore,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/founding-run,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/founding-run/order,ProtectedRoute,hexisle.tsx,KEEP,NONE
/hexisle/harvest,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/hexels/:slug,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/hexels/slotted-top,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/island/:id,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/keeps,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/overworld,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/portfolio,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/projects,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/treasure,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/vote,ExplorerRoute,hexisle.tsx,OPEN,NONE
/hexisle/world-3d,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/world-map,OPEN,hexisle.tsx,OPEN,NONE
/hexisle/zoom,OPEN,hexisle.tsx,OPEN,NONE
/history,OPEN,public.tsx,OPEN,NONE
