ts,condition,model,qid,grade,cost_usd,latency_s,running_total_usd
2026-04-27T15:27:47.808580+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-CS-01,HOT,0.065473,4.491,0.414993
2026-04-27T15:27:51.217646+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-CS-02,HOT,0.006250,2.979,0.414993
2026-04-27T15:27:57.037631+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-CS-03,HOT,0.007621,5.390,0.414993
2026-04-27T15:28:01.637858+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-CS-04,HOT,0.006389,4.169,0.414993
2026-04-27T15:28:07.662539+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-CS-05,HOT,0.007609,5.595,0.414993
2026-04-27T15:28:10.491385+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-CS-06,HOT,0.006025,2.396,0.414993
2026-04-27T15:28:14.610556+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-CS-07,HOT,0.005896,3.685,0.414993
2026-04-27T15:28:21.245498+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-CS-08,HOT,0.007954,6.200,0.414993
2026-04-27T15:28:24.700405+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-CS-09,HOT,0.006311,3.021,0.414993
2026-04-27T15:28:32.133695+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-AM-01,HOT,0.008374,7.001,0.414993
2026-04-27T15:28:36.936381+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-AM-02,HOT,0.007109,4.371,0.414993
2026-04-27T15:28:40.525076+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-AM-03,HOT,0.006586,3.156,0.414993
2026-04-27T15:28:45.542542+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-AM-04,HOT,0.006496,4.589,0.414993
2026-04-27T15:28:55.331743+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-AM-05,HIT,0.008441,9.359,0.414993
2026-04-27T15:28:59.228283+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-AM-06,HOT,0.006271,3.467,0.414993
2026-04-27T15:29:07.884213+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-AM-07,HOT,0.009077,8.224,0.414993
2026-04-27T15:29:12.001631+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-AM-08,HOT,0.006439,3.688,0.414993
2026-04-27T15:29:18.907105+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-EG-01,HOT,0.008459,6.476,0.414993
2026-04-27T15:29:25.919317+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-EG-02,HOT,0.007796,6.584,0.414993
2026-04-27T15:29:29.860329+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-EG-03,MISS,0.007717,3.510,0.414993
2026-04-27T15:29:34.889036+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-EG-04,HOT,0.007604,4.598,0.414993
2026-04-27T15:29:39.624877+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-EG-05,HOT,0.006595,4.307,0.414993
2026-04-27T15:29:46.236354+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-EG-06,HOT,0.007312,6.180,0.414993
2026-04-27T15:29:52.326568+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-EG-07,HOT,0.008042,5.660,0.414993
2026-04-27T15:29:57.290255+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-EG-08,HOT,0.007267,4.534,0.414993
2026-04-27T15:30:01.168226+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-EG-09,HOT,0.006403,3.445,0.414993
2026-04-27T15:30:03.926559+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-MJ-01,HOT,0.005929,2.318,0.414993
2026-04-27T15:30:07.749861+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-MJ-02,HOT,0.006361,3.393,0.414993
2026-04-27T15:30:12.002096+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-MJ-03,HOT,0.006644,3.826,0.414993
2026-04-27T15:30:15.448640+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-MJ-04,HIT,0.006457,3.018,0.414993
2026-04-27T15:30:19.245930+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-MJ-05,HIT,0.006739,3.366,0.414993
2026-04-27T15:30:23.118694+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-MJ-06,MISS,0.006325,3.445,0.414993
2026-04-27T15:30:27.414455+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-MJ-07,HOT,0.006887,3.865,0.414993
2026-04-27T15:30:39.558778+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-MJ-08,HIT,0.007574,11.714,0.414993
2026-04-27T15:30:45.042954+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-RC-01,HIT,0.007376,5.053,0.414993
2026-04-27T15:30:50.190275+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-RC-02,HOT,0.006934,4.719,0.414993
2026-04-27T15:30:57.475356+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-RC-03,HOT,0.008578,6.866,0.414993
2026-04-27T15:31:01.397187+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-RC-04,HOT,0.006706,3.490,0.414993
2026-04-27T15:31:06.047964+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-RC-05,HOT,0.006796,4.221,0.414993
2026-04-27T15:31:11.405463+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-RC-06,HOT,0.007642,4.931,0.414993
2026-04-27T15:31:15.821145+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-RC-07,HOT,0.007321,3.987,0.414993
2026-04-27T15:31:20.671967+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-RC-08,HOT,0.007529,4.438,0.414993
2026-04-27T15:31:25.104743+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-HP-01,HOT,0.007043,4.008,0.414993
2026-04-27T15:31:29.475708+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-HP-02,HOT,0.006685,3.965,0.414993
2026-04-27T15:31:34.133213+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-HP-03,HOT,0.006998,4.239,0.414993
2026-04-27T15:31:41.352249+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-HP-04,HOT,0.008308,6.789,0.414993
2026-04-27T15:31:50.215524+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-HP-05,HOT,0.009584,8.433,0.414993
2026-04-27T15:31:53.273346+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-HP-06,HOT,0.006539,2.634,0.414993
2026-04-27T15:31:56.164033+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-HP-07,HOT,0.006266,2.459,0.414993
2026-04-27T15:31:58.620906+00:00,claude_projects_sonnet,claude-sonnet-4-6,R11-HP-08,HOT,0.006256,2.029,0.414993
2026-04-27T14:54:36.019496+00:00,chatgpt_memory,gpt-4o,R11-CS-01,HOT,0.038228,3.404,1.386263
2026-04-27T14:54:51.034204+00:00,chatgpt_memory,gpt-4o,R11-CS-02,HOT,0.038240,14.584,1.386263
2026-04-27T14:55:38.942084+00:00,chatgpt_memory,gpt-4o,R11-CS-03,HOT,0.038302,47.478,1.386263
2026-04-27T14:55:52.105073+00:00,chatgpt_memory,gpt-4o,R11-CS-04,HOT,0.038305,12.732,1.386263
2026-04-27T14:56:20.943910+00:00,chatgpt_memory,gpt-4o,R11-CS-05,HOT,0.038458,28.399,1.386263
2026-04-27T14:56:49.901086+00:00,chatgpt_memory,gpt-4o,R11-CS-06,HOT,0.038300,28.525,1.386263
2026-04-27T14:57:20.479066+00:00,chatgpt_memory,gpt-4o,R11-CS-07,HOT,0.038358,30.171,1.386263
2026-04-27T14:58:22.094985+00:00,chatgpt_memory,gpt-4o,R11-CS-08,HOT,0.038525,61.160,1.386263
2026-04-27T14:59:06.653346+00:00,chatgpt_memory,gpt-4o,R11-CS-09,HOT,0.038275,44.128,1.386263
2026-04-27T15:00:30.351697+00:00,chatgpt_memory,gpt-4o,R11-AM-01,HOT,0.038325,83.267,1.386263
2026-04-27T15:01:08.795749+00:00,chatgpt_memory,gpt-4o,R11-AM-02,HOT,0.038248,38.013,1.386263
2026-04-27T15:02:14.815293+00:00,chatgpt_memory,gpt-4o,R11-AM-03,HOT,0.038382,65.590,1.386263
2026-04-27T15:02:39.768033+00:00,chatgpt_memory,gpt-4o,R11-AM-04,HOT,0.038215,24.521,1.386263
2026-04-27T15:03:40.567053+00:00,chatgpt_memory,gpt-4o,R11-AM-05,HOT,0.038262,60.356,1.386263
2026-04-27T15:04:41.847579+00:00,chatgpt_memory,gpt-4o,R11-AM-06,HOT,0.038345,60.839,1.386263
2026-04-27T15:05:26.939362+00:00,chatgpt_memory,gpt-4o,R11-AM-07,HOT,0.038282,44.654,1.386263
2026-04-27T15:06:27.853632+00:00,chatgpt_memory,gpt-4o,R11-AM-08,HOT,0.038430,60.547,1.386263
2026-04-27T15:06:58.113297+00:00,chatgpt_memory,gpt-4o,R11-EG-01,HOT,0.038410,29.893,1.386263
2026-04-27T15:08:00.507230+00:00,chatgpt_memory,gpt-4o,R11-EG-03,MISS,0.039027,1.747,1.386263
2026-04-27T15:09:00.405485+00:00,chatgpt_memory,gpt-4o,R11-EG-04,HOT,0.038430,59.534,1.386263
2026-04-27T15:09:45.670749+00:00,chatgpt_memory,gpt-4o,R11-EG-05,HOT,0.038435,44.898,1.386263
2026-04-27T15:10:16.995552+00:00,chatgpt_memory,gpt-4o,R11-EG-06,HOT,0.038423,30.962,1.386263
2026-04-27T15:11:17.656550+00:00,chatgpt_memory,gpt-4o,R11-EG-07,HOT,0.038445,60.299,1.386263
2026-04-27T15:13:01.720500+00:00,chatgpt_memory,gpt-4o,R11-EG-09,HOT,0.038345,43.759,1.386263
2026-04-27T15:13:19.216426+00:00,chatgpt_memory,gpt-4o,R11-MJ-01,HOT,0.038247,17.064,1.386263
2026-04-27T15:14:17.905005+00:00,chatgpt_memory,gpt-4o,R11-MJ-03,HOT,0.038502,1.133,1.386263
2026-04-27T15:20:58.330159+00:00,chatgpt_memory,gpt-4o,R11-RC-01,HOT,0.038317,67.681,1.386263
2026-04-27T15:21:56.457015+00:00,chatgpt_memory,gpt-4o,R11-RC-02,HOT,0.038435,57.696,1.386263
2026-04-27T15:23:29.937474+00:00,chatgpt_memory,gpt-4o,R11-RC-05,HOT,0.038325,3.060,1.386263
2026-04-27T15:25:29.540238+00:00,chatgpt_memory,gpt-4o,R11-RC-07,HOT,0.038502,46.525,1.386263
2026-04-27T15:26:28.386593+00:00,chatgpt_memory,gpt-4o,R11-RC-08,HOT,0.038385,58.467,1.386263
2026-04-27T15:27:33.516565+00:00,chatgpt_memory,gpt-4o,R11-HP-01,HOT,0.038522,64.696,1.386263
2026-04-27T15:29:02.877037+00:00,chatgpt_memory,gpt-4o,R11-HP-02,HOT,0.038378,88.903,1.386263
2026-04-27T15:31:21.331493+00:00,chatgpt_memory,gpt-4o,R11-HP-05,HOT,0.038785,30.774,1.386263
2026-04-27T15:33:23.309576+00:00,chatgpt_memory,gpt-4o,R11-HP-07,HOT,0.038372,61.480,1.386263
2026-04-27T15:33:53.526493+00:00,chatgpt_memory,gpt-4o,R11-HP-08,HOT,0.038358,29.786,1.386263
2026-04-27T15:32:02.274912+00:00,claude_projects_opus,claude-opus-4-7,R11-CS-01,HOT,0.502275,3.231,3.722403
2026-04-27T15:32:06.415234+00:00,claude_projects_opus,claude-opus-4-7,R11-CS-02,HOT,0.505140,3.710,3.722403
2026-04-27T15:32:11.608049+00:00,claude_projects_opus,claude-opus-4-7,R11-CS-03,HOT,0.050445,4.762,3.722403
2026-04-27T15:32:14.863793+00:00,claude_projects_opus,claude-opus-4-7,R11-CS-04,HOT,0.044925,2.826,3.722403
2026-04-27T15:32:22.239074+00:00,claude_projects_opus,claude-opus-4-7,R11-CS-05,HOT,0.059040,6.945,3.722403
2026-04-27T15:32:25.895210+00:00,claude_projects_opus,claude-opus-4-7,R11-CS-06,HOT,0.044655,3.224,3.722403
2026-04-27T15:32:30.171068+00:00,claude_projects_opus,claude-opus-4-7,R11-CS-07,HOT,0.045000,3.847,3.722403
2026-04-27T15:32:33.991357+00:00,claude_projects_opus,claude-opus-4-7,R11-CS-08,HOT,0.045315,3.391,3.722403
2026-04-27T15:32:38.963562+00:00,claude_projects_opus,claude-opus-4-7,R11-CS-09,HOT,0.045960,4.545,3.722403
2026-04-27T15:32:43.752410+00:00,claude_projects_opus,claude-opus-4-7,R11-AM-01,HOT,0.053535,4.363,3.722403
2026-04-27T15:32:46.969050+00:00,claude_projects_opus,claude-opus-4-7,R11-AM-02,HOT,0.045360,2.787,3.722403
2026-04-27T15:32:51.610279+00:00,claude_projects_opus,claude-opus-4-7,R11-AM-03,HOT,0.046005,4.214,3.722403
2026-04-27T15:32:56.681901+00:00,claude_projects_opus,claude-opus-4-7,R11-AM-04,HOT,0.047055,4.641,3.722403
2026-04-27T15:33:01.004899+00:00,claude_projects_opus,claude-opus-4-7,R11-AM-05,HOT,0.044880,3.894,3.722403
2026-04-27T15:33:06.334425+00:00,claude_projects_opus,claude-opus-4-7,R11-AM-06,HOT,0.047235,4.902,3.722403
2026-04-27T15:33:12.347084+00:00,claude_projects_opus,claude-opus-4-7,R11-AM-07,HOT,0.050070,5.582,3.722403
2026-04-27T15:33:16.902952+00:00,claude_projects_opus,claude-opus-4-7,R11-AM-08,HOT,0.048630,4.130,3.722403
2026-04-27T15:33:20.305826+00:00,claude_projects_opus,claude-opus-4-7,R11-EG-01,HOT,0.045765,2.974,3.722403
2026-04-27T15:33:24.488354+00:00,claude_projects_opus,claude-opus-4-7,R11-EG-02,HOT,0.048735,3.733,3.722403
2026-04-27T15:33:28.768614+00:00,claude_projects_opus,claude-opus-4-7,R11-EG-03,MISS,0.054720,3.849,3.722403
2026-04-27T15:33:33.415257+00:00,claude_projects_opus,claude-opus-4-7,R11-EG-04,HOT,0.047565,4.217,3.722403
2026-04-27T15:33:37.074084+00:00,claude_projects_opus,claude-opus-4-7,R11-EG-05,HOT,0.047100,3.229,3.722403
2026-04-27T15:33:40.409913+00:00,claude_projects_opus,claude-opus-4-7,R11-EG-06,HOT,0.046080,2.908,3.722403
2026-04-27T15:33:45.223912+00:00,claude_projects_opus,claude-opus-4-7,R11-EG-07,HOT,0.047640,4.384,3.722403
2026-04-27T15:33:48.653196+00:00,claude_projects_opus,claude-opus-4-7,R11-EG-08,HOT,0.045105,2.998,3.722403
2026-04-27T15:33:52.741436+00:00,claude_projects_opus,claude-opus-4-7,R11-EG-09,HOT,0.045960,3.658,3.722403
2026-04-27T15:33:56.093604+00:00,claude_projects_opus,claude-opus-4-7,R11-MJ-01,HOT,0.046335,2.924,3.722403
2026-04-27T15:33:58.927140+00:00,claude_projects_opus,claude-opus-4-7,R11-MJ-02,HOT,0.044520,2.405,3.722403
2026-04-27T15:34:02.512067+00:00,claude_projects_opus,claude-opus-4-7,R11-MJ-03,HOT,0.044220,3.156,3.722403
2026-04-27T15:34:06.196556+00:00,claude_projects_opus,claude-opus-4-7,R11-MJ-04,HIT,0.046830,3.253,3.722403
2026-04-27T15:34:09.372319+00:00,claude_projects_opus,claude-opus-4-7,R11-MJ-05,HIT,0.047025,2.753,3.722403
2026-04-27T15:34:14.518248+00:00,claude_projects_opus,claude-opus-4-7,R11-MJ-06,HIT,0.049785,4.716,3.722403
2026-04-27T15:34:20.763617+00:00,claude_projects_opus,claude-opus-4-7,R11-MJ-07,HOT,0.051135,5.817,3.722403
2026-04-27T15:34:24.315287+00:00,claude_projects_opus,claude-opus-4-7,R11-MJ-08,HOT,0.046650,3.152,3.722403
2026-04-27T15:34:28.651152+00:00,claude_projects_opus,claude-opus-4-7,R11-RC-01,HOT,0.045885,3.905,3.722403
2026-04-27T15:34:32.239443+00:00,claude_projects_opus,claude-opus-4-7,R11-RC-02,HOT,0.046920,3.158,3.722403
2026-04-27T15:34:36.232747+00:00,claude_projects_opus,claude-opus-4-7,R11-RC-03,HOT,0.048300,3.567,3.722403
2026-04-27T15:34:40.332465+00:00,claude_projects_opus,claude-opus-4-7,R11-RC-04,HOT,0.045975,3.673,3.722403
2026-04-27T15:34:43.427165+00:00,claude_projects_opus,claude-opus-4-7,R11-RC-05,HOT,0.046155,2.684,3.722403
2026-04-27T15:34:48.653968+00:00,claude_projects_opus,claude-opus-4-7,R11-RC-06,HOT,0.050070,4.820,3.722403
2026-04-27T15:34:53.317134+00:00,claude_projects_opus,claude-opus-4-7,R11-RC-07,HOT,0.048390,4.254,3.722403
2026-04-27T15:34:58.512389+00:00,claude_projects_opus,claude-opus-4-7,R11-RC-08,HOT,0.054735,4.800,3.722403
2026-04-27T15:35:04.888251+00:00,claude_projects_opus,claude-opus-4-7,R11-HP-01,HOT,0.051030,5.991,3.722403
2026-04-27T15:35:08.972557+00:00,claude_projects_opus,claude-opus-4-7,R11-HP-02,HOT,0.047670,3.660,3.722403
2026-04-27T15:35:21.990121+00:00,claude_projects_opus,claude-opus-4-7,R11-HP-03,HOT,0.049650,12.601,3.722403
2026-04-27T15:35:27.162730+00:00,claude_projects_opus,claude-opus-4-7,R11-HP-04,HOT,0.050880,4.741,3.722403
2026-04-27T15:35:31.748613+00:00,claude_projects_opus,claude-opus-4-7,R11-HP-05,HOT,0.051375,4.166,3.722403
2026-04-27T15:35:34.829005+00:00,claude_projects_opus,claude-opus-4-7,R11-HP-06,HOT,0.046905,2.650,3.722403
2026-04-27T15:35:38.186960+00:00,claude_projects_opus,claude-opus-4-7,R11-HP-07,HOT,0.046755,2.945,3.722403
2026-04-27T15:35:41.396331+00:00,claude_projects_opus,claude-opus-4-7,R11-HP-08,HOT,0.046020,2.778,3.722403
2026-04-27T14:57:20.550720+00:00,chatgpt_memory,gpt-4o,R11-CS-01,HOT,0.038218,60.587,1.076546
2026-04-27T14:58:21.826085+00:00,chatgpt_memory,gpt-4o,R11-CS-02,HOT,0.038290,60.855,1.076546
2026-04-27T14:59:07.547647+00:00,chatgpt_memory,gpt-4o,R11-CS-03,HOT,0.038492,45.289,1.076546
2026-04-27T15:00:23.687385+00:00,chatgpt_memory,gpt-4o,R11-CS-04,HOT,0.038265,75.710,1.076546
