ts,condition,arm,model,qid,grade,cost_usd,latency_s,running_total_usd
2026-04-24T02:34:55.839506+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-CS-01,HIT,0.005150,2.569,0.283496
2026-04-24T02:34:58.136737+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-CS-02,HIT,0.005117,1.874,0.283496
2026-04-24T02:35:01.099056+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-CS-03,MISS,0.005354,2.526,0.283496
2026-04-24T02:35:04.522001+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-CS-04,MISS,0.005260,2.974,0.283496
2026-04-24T02:35:07.834442+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-CS-05,HIT,0.005439,2.881,0.283496
2026-04-24T02:35:12.258224+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-CS-06,MISS,0.005724,3.981,0.283496
2026-04-24T02:35:15.140859+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-CS-07,HIT,0.006029,2.452,0.283496
2026-04-24T02:35:20.139024+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-CS-08,MISS,0.005600,4.572,0.283496
2026-04-24T02:35:24.839856+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-CS-09,HIT,0.005846,4.252,0.283496
2026-04-24T02:35:28.560619+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-AM-01,MISS,0.005429,3.280,0.283496
2026-04-24T02:35:32.247638+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-AM-02,HIT,0.006292,3.261,0.283496
2026-04-24T02:35:36.684208+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-AM-03,HIT,0.007750,4.002,0.283496
2026-04-24T02:35:41.039155+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-AM-04,HIT,0.005356,3.916,0.283496
2026-04-24T02:35:44.239277+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-AM-05,MISS,0.007376,2.768,0.283496
2026-04-24T02:35:47.137706+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-AM-06,MISS,0.007293,2.494,0.283496
2026-04-24T02:35:50.917250+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-AM-07,HIT,0.005743,3.375,0.283496
2026-04-24T02:35:54.918002+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-AM-08,HIT,0.006244,3.566,0.283496
2026-04-24T02:35:58.935067+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-EG-01,MISS,0.005720,3.569,0.283496
2026-04-24T02:36:02.507757+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-EG-02,MISS,0.006229,3.132,0.283496
2026-04-24T02:36:06.584558+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-EG-03,HIT,0.005333,3.645,0.283496
2026-04-24T02:36:10.213430+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-EG-04,HIT,0.005496,3.196,0.283496
2026-04-24T02:36:12.638215+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-EG-05,HIT,0.005101,2.013,0.283496
2026-04-24T02:36:16.520471+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-EG-06,MISS,0.005664,3.457,0.283496
2026-04-24T02:36:20.632908+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-EG-07,HIT,0.006275,3.661,0.283496
2026-04-24T02:36:23.786811+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-EG-08,HIT,0.005284,2.706,0.283496
2026-04-24T02:36:27.337336+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-EG-09,HIT,0.005191,3.102,0.283496
2026-04-24T02:36:30.492884+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-MJ-01,MISS,0.005999,2.709,0.283496
2026-04-24T02:36:34.070619+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-MJ-02,MISS,0.005449,3.131,0.283496
2026-04-24T02:36:37.229908+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-MJ-03,HIT,0.005346,2.710,0.283496
2026-04-24T02:36:40.787468+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-MJ-04,HIT,0.005542,3.110,0.283496
2026-04-24T02:36:43.739054+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-MJ-05,HIT,0.005176,2.503,0.283496
2026-04-24T02:36:46.030485+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-MJ-06,HIT,0.005048,1.843,0.283496
2026-04-24T02:36:49.917835+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-MJ-07,MISS,0.005294,3.433,0.283496
2026-04-24T02:36:52.505001+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-MJ-08,HIT,0.005139,2.147,0.283496
2026-04-24T02:36:56.362237+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-01,HIT,0.005341,3.421,0.283496
2026-04-24T02:36:59.462829+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-02,HIT,0.005906,2.677,0.283496
2026-04-24T02:37:03.086978+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-03,HIT,0.006448,3.175,0.283496
2026-04-24T02:37:07.160616+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-04,HIT,0.005497,3.634,0.283496
2026-04-24T02:37:09.462651+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-05,HIT,0.005070,1.860,0.283496
2026-04-24T02:37:14.653104+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-06,HIT,0.006275,4.739,0.283496
2026-04-24T02:37:17.717636+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-07,HIT,0.005343,2.637,0.283496
2026-04-24T02:37:22.003482+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-08,HIT,0.005701,3.838,0.283496
2026-04-24T02:37:25.351514+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-01,HIT,0.005100,2.902,0.283496
2026-04-24T02:37:28.313036+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-02,MISS,0.005149,2.506,0.283496
2026-04-24T02:37:31.871502+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-03,MISS,0.005506,3.102,0.283496
2026-04-24T02:37:37.267645+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-04,MISS,0.005467,4.945,0.283496
2026-04-24T02:37:39.686711+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-05,HIT,0.006162,1.964,0.283496
2026-04-24T02:37:41.802607+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-06,HIT,0.004934,1.654,0.283496
2026-04-24T02:37:45.920284+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-07,MISS,0.006155,3.671,0.283496
2026-04-24T02:37:48.454855+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-08,HIT,0.005154,2.082,0.283496
2026-04-24T02:37:51.122384+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-01,HIT,0.006606,2.205,0.346526
2026-04-24T02:37:53.576744+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-02,HIT,0.006493,1.996,0.346526
2026-04-24T02:37:57.106542+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-03,MISS,0.006950,3.074,0.346526
2026-04-24T02:37:59.742102+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-04,MISS,0.006541,2.193,0.346526
2026-04-24T02:38:02.789997+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-05,HIT,0.006620,2.586,0.346526
2026-04-24T02:38:06.928938+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-06,MISS,0.005729,3.688,0.346526
2026-04-24T02:38:09.394627+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-07,HIT,0.006620,2.005,0.346526
2026-04-24T02:38:12.845795+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-08,MISS,0.006976,3.002,0.346526
2026-04-24T02:38:14.849189+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-09,HIT,0.004886,1.553,0.346526
2026-04-24T02:38:18.872025+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-AM-01,MISS,0.005609,3.572,0.346526
